stock_id,name,market,industry,isin,listed_date,is_emerging
6682.TWO,華旭先進,興櫃,光電業,TW0006682008,2018/05/11,1
6683.TWO,雍智科技,上櫃,半導體業,TW0006683006,2019/04/23,0
6684.TWO,安格,上櫃,半導體業,TW0006684004,2021/08/11,0
6689.TW,伊雲谷,上市,數位雲端,TW0006689003,2022/09/13,0
6690.TWO,安碁資訊,上櫃,數位雲端,TW0006690001,2019/10/30,0
6691.TW,洋基工程,上市,其他電子業,TW0006691009,2022/01/03,0
6692.TWO,進能服,上櫃,綠能環保,TW0006692007,2024/02/02,0
6693.TWO,廣閎科,上櫃,半導體業,TW0006693005,2022/03/01,0
6695.TW,芯鼎,上市,半導體業,TW0006695000,2022/11/04,0
6696.TWO,仁新,興櫃,生技醫療業,TW0006696008,2018/10/08,1
6697.TWO,東捷資訊,上櫃,資訊服務業,TW0006697006,2019/12/26,0
6698.TW,旭暉應材,上市,其他電子業,TW0006698004,2019/11/25,0
6703.TWO,軒郁,上櫃,生技醫療業,TW0006703002,2020/10/20,0
6704.TWO,國璽幹細胞,興櫃,生技醫療業,TW0006704000,2023/04/26,1
6705.TWO,振躍精密,興櫃,電機機械,TW0006705007,2018/10/31,1
6706.TW,惠特,上市,光電業,TW0006706005,2019/12/19,0
6707.TWO,富基電通,興櫃,電子通路業,TW0006707003,2022/07/21,1
6708.TWO,天擎,上櫃,半導體業,TW0006708001,2022/12/29,0
6709.TWO,昱厚生技,興櫃,生技醫療業,TW0006709009,2018/11/29,1
6712.TWO,長聖,上櫃,生技醫療業,TW0006712003,2021/01/08,0
6715.TW,嘉基,上市,電子零組件業,TW0006715006,2019/12/12,0
6716.TWO,應廣,上櫃,半導體業,TW0006716004,2020/03/27,0
6719.TW,力智,上市,半導體業,TW0006719008,2022/01/13,0
6720.TWO,久昌,上櫃,半導體業,TW0006720006,2024/12/04,0
6721.TWO,信實,上櫃,其他業,TW0006721004,2022/04/29,0
6722.TW,輝創,上市,其他電子業,TW0006722002,2026/01/16,0
6723.TWO,傑智環境,興櫃,綠能環保,TW0006723000,2018/12/26,1
6725.TWO,矽科宏晟,上櫃,其他電子業,TW0006725005,2025/12/30,0
6727.TWO,亞泰金屬,上櫃,電子零組件業,TW0006727001,2020/12/01,0
6728.TWO,上洋,上櫃,居家生活,TW0006728009,2020/12/25,0
